Variable,Subject,Grade,Year,Jurisdiction,Grouping,Mean,SD,N,Cohen's d
Median Family Income,SAT - Math,NA,2023,US,"2nd Highest Quintile ($86,074-$113,340)",510.0,122.0,337245.0,
Median Family Income,SAT - Total,NA,2023,US,"2nd Highest Quintile ($86,074-$113,340)",1039.0,221.0,337245.0,
First Language Learned,SAT - ERW,NA,2023,US,English and Another Language,530.0,110.0,323387.0,
First Language Learned,SAT - Math,NA,2023,US,English and Another Language,529.0,122.0,323387.0,
First Language Learned,SAT - Total,NA,2023,US,English and Another Language,1058.0,221.0,323387.0,
Median Family Income,SAT - ERW,NA,2023,US,"Middle Quintile ($69,093-$86,073)",503.0,110.0,256127.0,
Median Family Income,SAT - Math,NA,2023,US,"Middle Quintile ($69,093-$86,073)",481.0,122.0,256127.0,
Median Family Income,SAT - Total,NA,2023,US,"Middle Quintile ($69,093-$86,073)",984.0,221.0,256127.0,
Median Family Income,SAT - ERW,NA,2023,US,"2nd Lowest Quintile ($53,264-$69,092)",482.0,110.0,227256.0,
Median Family Income,SAT - Math,NA,2023,US,"2nd Lowest Quintile ($53,264-$69,092)",460.0,122.0,227256.0,
Median Family Income,SAT - Total,NA,2023,US,"2nd Lowest Quintile ($53,264-$69,092)",942.0,221.0,227256.0,
Race/Ethnicity,SAT - ERW,NA,2023,US,Black,466.0,110.0,225954.0,-0.7636363636363637
Race/Ethnicity,SAT - Math,NA,2023,US,Black,441.0,122.0,225954.0,-0.7459016393442623
Race/Ethnicity,SAT - Total,NA,2023,US,Black,908.0,221.0,225954.0,-0.7873303167420814
Median Family Income,SAT - ERW,NA,2023,US,"Lowest Quintile ($0-$53,263)",456.0,110.0,203941.0,
Median Family Income,SAT - Math,NA,2023,US,"Lowest Quintile ($0-$53,263)",434.0,122.0,203941.0,
Median Family Income,SAT - Total,NA,2023,US,"Lowest Quintile ($0-$53,263)",891.0,221.0,203941.0,
First Language Learned,SAT - ERW,NA,2023,US,Another Language,517.0,110.0,200762.0,
First Language Learned,SAT - Math,NA,2023,US,Another Language,534.0,122.0,200762.0,
First Language Learned,SAT - Total,NA,2023,US,Another Language,1052.0,221.0,200762.0,
Race/Ethnicity,SAT - ERW,NA,2023,US,Asian,593.0,110.0,194108.0,0.39090909090909093
Race/Ethnicity,SAT - Math,NA,2023,US,Asian,626.0,122.0,194108.0,0.7704918032786885
Race/Ethnicity,SAT - Total,NA,2023,US,Asian,1219.0,221.0,194108.0,0.6199095022624435
Race/Ethnicity,SAT - ERW,NA,2023,US,No Response,478.0,110.0,190277.0,-0.6545454545454545
Race/Ethnicity,SAT - Math,NA,2023,US,No Response,477.0,122.0,190277.0,-0.45081967213114754
Race/Ethnicity,SAT - Total,NA,2023,US,No Response,955.0,221.0,190277.0,-0.5746606334841629
Parent Education,SAT - ERW,NA,2023,US,No High School Diploma,460.0,110.0,116796.0,
Parent Education,SAT - Math,NA,2023,US,No High School Diploma,451.0,122.0,116796.0,
Parent Education,SAT - Total,NA,2023,US,No High School Diploma,910.0,221.0,116796.0,
Parent Education,SAT - ERW,NA,2023,US,Associate Degree,513.0,110.0,89393.0,
Parent Education,SAT - Math,NA,2023,US,Associate Degree,491.0,122.0,89393.0,
Parent Education,SAT - Total,NA,2023,US,Associate Degree,1004.0,221.0,89393.0,
Race/Ethnicity,SAT - ERW,NA,2023,US,Multiple Races/Ethnicities,556.0,110.0,69410.0,0.05454545454545454
Race/Ethnicity,SAT - Math,NA,2023,US,Multiple Races/Ethnicities,535.0,122.0,69410.0,0.02459016393442623
Race/Ethnicity,SAT - Total,NA,2023,US,Multiple Races/Ethnicities,1091.0,221.0,69410.0,0.04072398190045249
Race/Ethnicity,SAT - ERW,NA,2023,US,American Indian/Alaska Native,458.0,110.0,15384.0,-0.8363636363636363
Race/Ethnicity,SAT - Math,NA,2023,US,American Indian/Alaska Native,443.0,122.0,15384.0,-0.7295081967213115
Race/Ethnicity,SAT - Total,NA,2023,US,American Indian/Alaska Native,901.0,221.0,15384.0,-0.8190045248868778
Gender,SAT - ERW,NA,2023,US,Another gender,552.0,110.0,10535.0,0.2636363636363636
Gender,SAT - Math,NA,2023,US,Another gender,506.0,122.0,10535.0,0.04918032786885246
Gender,SAT - Total,NA,2023,US,Another gender,1058.0,221.0,10535.0,0.1583710407239819
Race/Ethnicity,SAT - ERW,NA,2023,US,Native Hawaiian/Other Pacific Islander,473.0,110.0,3791.0,-0.7
Race/Ethnicity,SAT - Math,NA,2023,US,Native Hawaiian/Other Pacific Islander,452.0,122.0,3791.0,-0.6557377049180327
Race/Ethnicity,SAT - Total,NA,2023,US,Native Hawaiian/Other Pacific Islander,925.0,221.0,3791.0,-0.7104072398190046
Race/Ethnicity,NAEP - Science - 4,,2019,US,White,162.99,31.74,,0.0
Race/Ethnicity,NAEP - Science - 4,,2019,US,Black,129.98,34.48,,-0.9961274067010325
Race/Ethnicity,NAEP - Science - 4,,2019,US,Hispanic,138.5,34.87,,-0.7345145493062224
Race/Ethnicity,NAEP - Science - 4,,2019,US,Asian,168.04,37.21,,0.14602416319759967
Race/Ethnicity,NAEP - Science - 4,,2019,US,American Indian/Alaska Native,141.33,35.27,,-0.6455755457012557
Race/Ethnicity,NAEP - Science - 4,,2019,US,Native Hawaiian/Other Pacific Islander,141.9,37.08,,-0.611066436321802
Race/Ethnicity,NAEP - Science - 4,,2019,US,Multiple Races/Ethnicities,158.8,34.6,,-0.12620173938038423
Race/Ethnicity,NAEP - Science - 8,,2019,US,White,164.79,30.16,,0.0
Race/Ethnicity,NAEP - Science - 8,,2019,US,Black,132.67,33.75,,-1.0035814193409807
Race/Ethnicity,NAEP - Science - 8,,2019,US,Hispanic,140.85,34.07,,-0.7440686569978566
Race/Ethnicity,NAEP - Science - 8,,2019,US,Asian,168.29,33.65,,0.10953696220549324
Race/Ethnicity,NAEP - Science - 8,,2019,US,American Indian/Alaska Native,144.04,31.61,,-0.6716621451260115
Race/Ethnicity,NAEP - Science - 8,,2019,US,Native Hawaiian/Other Pacific Islander,138.55,36.02,,-0.7898982802621778
Race/Ethnicity,NAEP - Science - 8,,2019,US,Multiple Races/Ethnicities,158.71,32.67,,-0.19338386687795023
Race/Ethnicity,NAEP - Science - 12,,2019,US,White,160.59,33.75,,0.0
Race/Ethnicity,NAEP - Science - 12,,2019,US,Black,125.43,34.26,,-1.0339365227899757
Race/Ethnicity,NAEP - Science - 12,,2019,US,Hispanic,135.74,34.55,,-0.7276221237598192
Race/Ethnicity,NAEP - Science - 12,,2019,US,Asian,165.61,39.62,,0.13640481203707155
Race/Ethnicity,NAEP - Science - 12,,2019,US,American Indian/Alaska Native,141.7,33.45,,-0.5621967787324192
Race/Ethnicity,NAEP - Science - 12,,2019,US,Native Hawaiian/Other Pacific Islander,136.74,36.32,,-0.6802903981038746
Race/Ethnicity,NAEP - Science - 12,,2019,US,Multiple Races/Ethnicities,155.75,35.81,,-0.13909945308573413
Race/Ethnicity,NAEP - Reading - 4,,2019,US,White,230.23,35.25,,0.0
Race/Ethnicity,NAEP - Reading - 4,,2019,US,Black,203.53,37.44,,-0.7342933152897667
Race/Ethnicity,NAEP - Reading - 4,,2019,US,Hispanic,208.82,38.07,,-0.5835837902033942
Race/Ethnicity,NAEP - Reading - 4,,2019,US,Asian,239.21,36.93,,0.24875501827007077
Race/Ethnicity,NAEP - Reading - 4,,2019,US,American Indian/Alaska Native,204.41,38.62,,-0.6983395957908909
Race/Ethnicity,NAEP - Reading - 4,,2019,US,Native Hawaiian/Other Pacific Islander,211.68,37.25,,-0.5115295382613338
Race/Ethnicity,NAEP - Reading - 4,,2019,US,Multiple Races/Ethnicities,225.69,37.45,,-0.12483968847252647
Race/Ethnicity,NAEP - Reading - 8,,2019,US,White,272.26,34.38,,0.0
Race/Ethnicity,NAEP - Reading - 8,,2019,US,Black,244.37,36.04,,-0.7918845294409678
Race/Ethnicity,NAEP - Reading - 8,,2019,US,Hispanic,251.81,37.22,,-0.5707802234195616
Race/Ethnicity,NAEP - Reading - 8,,2019,US,Asian,283.56,37.11,,0.315897883233635
Race/Ethnicity,NAEP - Reading - 8,,2019,US,American Indian/Alaska Native,248.0,37.08,,-0.6784971153477433
Race/Ethnicity,NAEP - Reading - 8,,2019,US,Native Hawaiian/Other Pacific Islander,252.2,39.65,,-0.5405744683634974
Race/Ethnicity,NAEP - Reading - 8,,2019,US,Multiple Races/Ethnicities,266.99,37.55,,-0.14638925881591647
Race/Ethnicity,NAEP - Reading - 12,,2019,US,White,295.0,40.1,,0.0
Race/Ethnicity,NAEP - Reading - 12,,2019,US,Black,263.48,40.58,,-0.7813446251445734
Race/Ethnicity,NAEP - Reading - 12,,2019,US,Hispanic,273.96,40.15,,-0.5243612689393123
Race/Ethnicity,NAEP - Reading - 12,,2019,US,Asian,299.4,42.59,,0.10637335789074362
Race/Ethnicity,NAEP - Reading - 12,,2019,US,American Indian/Alaska Native,271.51,40.46,,-0.5831620025405101
Race/Ethnicity,NAEP - Reading - 12,,2019,US,Native Hawaiian/Other Pacific Islander,277.79,37.68,,-0.44231617457010153
Race/Ethnicity,NAEP - Reading - 12,,2019,US,Multiple Races/Ethnicities,295.11,41.54,,0.002694338381768701
Gender,NAEP - Reading - 4,,2019,US,Male,216.83,39.46,,-0.19390586208949825
Gender,NAEP - Reading - 4,,2019,US,Female,224.26,37.14,,0.0
Gender,NAEP - Reading - 8,,2019,US,Male,257.69,38.33,,-0.2985457141240658
Gender,NAEP - Reading - 8,,2019,US,Female,268.83,36.27,,0.0
Gender,NAEP - Reading - 12,,2019,US,Male,279.28,43.41,,-0.2991292393122899
Gender,NAEP - Reading - 12,,2019,US,Female,291.79,40.17,,0.0
Gender,NAEP - Science - 4,,2019,US,Male,151.36,37.26,,0.0
Gender,NAEP - Science - 4,,2019,US,Female,151.36,35.21,,0.0
Gender,NAEP - Science - 8,,2019,US,Male,154.22,35.86,,0.02763487731834347
Gender,NAEP - Science - 8,,2019,US,Female,153.26,33.58,,0.0
Gender,NAEP - Science - 12,,2019,US,Male,151.45,38.51,,0.10149735937570652
Gender,NAEP - Science - 12,,2019,US,Female,147.67,35.93,,0.0
National School Lunch Program eligibility,NAEP - Science - 4,,2019,US,Eligible,137.23,34.99,,
National School Lunch Program eligibility,NAEP - Science - 4,,2019,US,Not eligible,166.09,31.72,,
National School Lunch Program eligibility,NAEP - Science - 4,,2019,US,Information not available,162.91,30.61,,
National School Lunch Program eligibility,NAEP - Science - 8,,2019,US,Eligible,140.33,34.13,,
National School Lunch Program eligibility,NAEP - Science - 8,,2019,US,Not eligible,165.97,30.79,,
National School Lunch Program eligibility,NAEP - Science - 8,,2019,US,Information not available,164.95,29.79,,
National School Lunch Program eligibility,NAEP - Science - 12,,2019,US,Eligible,135.15,35.04,,
National School Lunch Program eligibility,NAEP - Science - 12,,2019,US,Not eligible,159.64,35.61,,
National School Lunch Program eligibility,NAEP - Science - 12,,2019,US,Information not available,156.13,35.37,,
National School Lunch Program eligibility,NAEP - Reading - 4,,2019,US,Eligible,207.01,37.79,,
National School Lunch Program eligibility,NAEP - Reading - 4,,2019,US,Not eligible,234.85,34.04,,
National School Lunch Program eligibility,NAEP - Reading - 4,,2019,US,Information not available,231.84,33.85,,
National School Lunch Program eligibility,NAEP - Reading - 8,,2019,US,Eligible,249.58,36.76,,
National School Lunch Program eligibility,NAEP - Reading - 8,,2019,US,Not eligible,274.94,34.5,,
National School Lunch Program eligibility,NAEP - Reading - 8,,2019,US,Information not available,276.08,33.97,,
National School Lunch Program eligibility,NAEP - Reading - 12,,2019,US,Eligible,271.13,40.51,,
National School Lunch Program eligibility,NAEP - Reading - 12,,2019,US,Not eligible,294.34,41.06,,
National School Lunch Program eligibility,NAEP - Reading - 12,,2019,US,Information not available,299.38,38.09,,
Parent Education,NAEP - Science - 8,,2005,US,Did not finish high school,127.9,32.11,,
Parent Education,NAEP - Science - 8,,2005,US,Graduated high school,137.85,32.97,,
Parent Education,NAEP - Science - 8,,2005,US,Some education after high school,151.09,31.14,,
Parent Education,NAEP - Science - 8,,2005,US,Graduated college,159.33,33.48,,
Parent Education,NAEP - Science - 8,,2005,US,Unknown,129.58,34.75,,
Parent Education,NAEP - Reading - 8,,2022,US,Did not finish high school,246.462641,36.357473,,
Parent Education,NAEP - Reading - 8,,2022,US,Graduated college,269.402479,36.367169,,
Parent Education,NAEP - Reading - 8,,2022,US,Graduated high school,246.316444,35.823315,,
Parent Education,NAEP - Reading - 8,,2022,US,Some education after high school,259.211452,34.636581,,
Parent Education,NAEP - Reading - 8,,2022,US,Unknown,242.285705,37.693674,,
Parent Education,NAEP - Science - 12,,2005,US,Did not finish high school,125.33,30.49,,
Parent Education,NAEP - Science - 12,,2005,US,Graduated high school,135.61,33.25,,
Parent Education,NAEP - Science - 12,,2005,US,Some education after high school,147.69,30.07,,
Parent Education,NAEP - Science - 12,,2005,US,Graduated college,157.1,31.97,,
Parent Education,NAEP - Science - 12,,2005,US,Unknown,118.61,33.47,,
Status as English learner,NAEP - Reading - 4,,2022,US,ELL,190.09,37.82,,
Status as English learner,NAEP - Reading - 4,,2022,US,Not ELL,221.62,39.01,,
Status as English learner,NAEP - Reading - 8,,2022,US,ELL,225.31,34.66,,
Status as English learner,NAEP - Reading - 8,,2022,US,Not ELL,263.84,36.4,,
Status as English learner,NAEP - Reading - 12,,2019,US,ELL,234.97,37.23,,
Status as English learner,NAEP - Reading - 12,,2019,US,Not ELL,287.74,41.09,,
Status as English learner,NAEP - Science - 4,,2019,US,ELL,234.97,37.23,,
Status as English learner,NAEP - Science - 4,,2019,US,Not ELL,287.74,41.09,,
Status as English learner,NAEP - Science - 8,,2019,US,ELL,121.52,34.7,,
Status as English learner,NAEP - Science - 8,,2019,US,Not ELL,155.38,34.56,,
Status as English learner,NAEP - Science - 12,,2019,US,ELL,98.98,32.36,,
Status as English learner,NAEP - Science - 12,,2019,US,Not ELL,151.93,35.81,,
UTOL4 – School location,NAEP - Reading - 4,,2022,US,City,213.11,42.12,,
UTOL4 – School location,NAEP - Reading - 4,,2022,US,Suburb,221.96,39.52,,
UTOL4 – School location,NAEP - Reading - 4,,2022,US,Town,211.69,39.49,,
UTOL4 – School location,NAEP - Reading - 4,,2022,US,Rural,218.35,38.16,,
UTOL4 – School location,NAEP - Reading - 8,,2022,US,City,257.48,39.07,,
UTOL4 – School location,NAEP - Reading - 8,,2022,US,Suburb,264.3,37.7,,
UTOL4 – School location,NAEP - Reading - 8,,2022,US,Town,256.13,36.6,,
UTOL4 – School location,NAEP - Reading - 8,,2022,US,Rural,259.81,36.33,,
UTOL4 – School location,NAEP - Reading - 12,,2019,US,City,283.89,43.19,,
UTOL4 – School location,NAEP - Reading - 12,,2019,US,Suburb,287.96,42.67,,
UTOL4 – School location,NAEP - Reading - 12,,2019,US,Town,282.38,41.35,,
UTOL4 – School location,NAEP - Reading - 12,,2019,US,Rural,284.51,40.4,,
UTOL4 – School location,NAEP - Science - 4,,2019,US,City,144.31,37.61,,
UTOL4 – School location,NAEP - Science - 4,,2019,US,Suburb,155.48,35.99,,
UTOL4 – School location,NAEP - Science - 4,,2019,US,Town,150.62,34.45,,
UTOL4 – School location,NAEP - Science - 4,,2019,US,Rural,154.26,33.82,,
UTOL4 – School location,NAEP - Science - 8,,2019,US,City,144.31,37.61,,
UTOL4 – School location,NAEP - Science - 8,,2019,US,Suburb,155.48,35.99,,
UTOL4 – School location,NAEP - Science - 8,,2019,US,Town,150.62,34.45,,
UTOL4 – School location,NAEP - Science - 8,,2019,US,Rural,154.26,33.82,,
UTOL4 – School location,NAEP - Science - 12,,2019,US,City,147.3,37.0,,
UTOL4 – School location,NAEP - Science - 12,,2019,US,Suburb,157.78,34.16,,
UTOL4 – School location,NAEP - Science - 12,,2019,US,Town,152.99,32.94,,
UTOL4 – School location,NAEP - Science - 12,,2019,US,Rural,155.9,31.71,,
Receive Title I funding,NAEP - Reading - 4,,2022,US,No,234.04,35.64,,
Receive Title I funding,NAEP - Reading - 4,,2022,US,"Yes, for students",219.51,38.75,,
Receive Title I funding,NAEP - Reading - 4,,2022,US,"Yes, for school purp",207.77,40.14,,
Receive Title I funding,NAEP - Reading - 8,,2022,US,No,267.93,36.63,,
Receive Title I funding,NAEP - Reading - 8,,2022,US,"Yes, for students",261.41,37.59,,
Receive Title I funding,NAEP - Reading - 8,,2022,US,"Yes, for school purp",251.21,37.46,,
Receive Title I funding,NAEP - Reading - 12,,2019,US,No,291.4,41.26,,
Receive Title I funding,NAEP - Reading - 12,,2019,US,"Yes, for students",287.02,42.96,,
Receive Title I funding,NAEP - Reading - 12,,2019,US,"Yes, for school purp",272.4,41.52,,
Receive Title I funding,NAEP - Science - 4,,2019,US,No,166.06,32.64,,
Receive Title I funding,NAEP - Science - 4,,2019,US,"Yes, for students",151.71,35.19,,
Receive Title I funding,NAEP - Science - 4,,2019,US,"Yes, for school purp",142.92,35.88,,
Receive Title I funding,NAEP - Science - 8,,2019,US,No,166.06,32.64,,
Receive Title I funding,NAEP - Science - 8,,2019,US,"Yes, for students",151.71,35.19,,
Receive Title I funding,NAEP - Science - 8,,2019,US,"Yes, for school purp",142.92,35.88,,
Receive Title I funding,NAEP - Science - 12,,2019,US,No,156.12,35.69,,
Receive Title I funding,NAEP - Science - 12,,2019,US,"Yes, for students",152.95,37.66,,
Receive Title I funding,NAEP - Science - 12,,2019,US,"Yes, for school purp",134.93,36.06,,
Country,LSAT,NA,2023,US,US,151.73,10.62,85025.0,
Gender,LSAT,NA,2023,US,Female,150.47,10.54,49489.0,0.0
Race/Ethnicity,LSAT,NA,2023,US,White,154.15,9.54,42168.0,0.0
Gender,LSAT,NA,2023,US,Male,153.39,10.46,32631.0,0.2780932201925703
Region,LSAT,NA,2023,Regional,Northeast,152.17,11.09,13942.0,
Region,LSAT,NA,2023,Regional,Southeast,149.86,10.22,12812.0,
Region,LSAT,NA,2023,Regional,Far West,152.33,10.96,11937.0,
Region,LSAT,NA,2023,Regional,Great Lakes,151.97,10.26,11078.0,
Region,LSAT,NA,2023,Regional,Mid-South,152.36,10.76,10630.0,
Region,LSAT,NA,2023,Regional,South Central,150.06,10.28,10475.0,
Race/Ethnicity,LSAT,NA,2023,US,Black,143.64,9.78,10040.0,-1.0879077814013491
Race/Ethnicity,LSAT,NA,2023,US,Multiple Races/Ethnicities,151.01,10.42,9843.0,-0.31432392054324126
Race/Ethnicity,LSAT,NA,2023,US,Hispanic,146.75,9.8,9146.0,-0.7651842176036566
Country,LSAT,NA,2023,US,Canada,152.75,9.76,7936.0,
Race/Ethnicity,LSAT,NA,2023,US,Asian,155.01,10.96,7338.0,0.08370187448836534
Race/Ethnicity,LSAT,NA,2023,US,No Response,154.13,10.15,5834.0,-0.002030513883152231
Region,LSAT,NA,2023,Regional,Mountain West,152.88,9.72,4753.0,
Region,LSAT,NA,2023,Regional,New England,153.48,10.85,4243.0,
Region,LSAT,NA,2023,Regional,Midwest,152.2,9.73,2933.0,
Region,LSAT,NA,2023,Regional,Northwest,153.73,10.67,2222.0,
Gender,LSAT,NA,2023,US,No Response,153.61,11.0,1687.0,0.291484143626319
Gender,LSAT,NA,2023,US,Another gender,155.74,10.08,1266.0,0.511027074513163
Race/Ethnicity,LSAT,NA,2023,US,Puerto Rican,145.54,10.93,469.0,-0.8392982984428677
Race/Ethnicity,LSAT,NA,2023,US,American Indian/Alaska Native,145.34,10.32,368.0,-0.8865269941086121
Race/Ethnicity,LSAT,NA,2023,US,Native Hawaiian/Other Pacific Islander,146.68,10.22,89.0,-0.7556255815159502
Race/Ethnicity,LSAT,NA,2023,US,Canadian Indigenous,147.5,3.3,10.0,-0.9316357415501945
Citizenship Status,GRE - Analytical Writing,NA,2023,US,Non-U.S. Citizens,3.2,0.7,221404.0,
Citizenship Status,GRE - Quantitative,NA,2023,US,Non-U.S. Citizens,161.5,8.4,221404.0,
Citizenship Status,GRE - Verbal,NA,2023,US,Non-U.S. Citizens,151.0,8.1,221404.0,
Years of Full-time Work Experience,GRE - Analytical Writing,NA,2023,US,No Response,3.8,0.8,185398.0,
Years of Full-time Work Experience,GRE - Quantitative,NA,2023,US,No Response,161.0,9.3,185398.0,
Years of Full-time Work Experience,GRE - Verbal,NA,2023,US,No Response,151.7,7.9,185398.0,
Age Group,GRE - Analytical Writing,NA,2023,US,18-22,160.0,9.2,169330.0,
Age Group,GRE - Quantitative,NA,2023,US,18-22,3.4,0.8,169330.0,
Age Group,GRE - Verbal,NA,2023,US,18-22,151.6,7.6,169330.0,
Gender,GRE - Analytical Writing,NA,2023,US,Male,3.4,0.8,168452.0,-0.1250000000000001
Gender,GRE - Quantitative,NA,2023,US,Male,160.3,8.8,168452.0,0.46975777762570453
Gender,GRE - Verbal,NA,2023,US,Male,151.7,8.0,168452.0,0.125
Gender,GRE - Analytical Writing,NA,2023,US,Female,3.5,0.8,150098.0,0.0
Gender,GRE - Quantitative,NA,2023,US,Female,155.8,10.3,150098.0,0.0
Gender,GRE - Verbal,NA,2023,US,Female,150.7,8.0,150098.0,0.0
Citizenship Status,GRE - Analytical Writing,NA,2023,US,U.S. Citizens,3.9,0.9,97676.0,
Citizenship Status,GRE - Quantitative,NA,2023,US,U.S. Citizens,150.5,8.3,97676.0,
Citizenship Status,GRE - Verbal,NA,2023,US,U.S. Citizens,151.8,7.8,97676.0,
Age Group,GRE - Analytical Writing,NA,2023,US,23-25,155.6,9.1,77935.0,
Age Group,GRE - Analytical Writing,NA,2023,US,23-25,3.3,0.7,77935.0,
Age Group,GRE - Verbal,NA,2023,US,23-25,149.6,7.5,77935.0,
Years of Full-time Work Experience,GRE - Analytical Writing,NA,2023,US,Less than 1 Year,3.6,0.8,67971.0,
Years of Full-time Work Experience,GRE - Quantitative,NA,2023,US,Less than 1 Year,154.7,9.7,67971.0,
Years of Full-time Work Experience,GRE - Verbal,NA,2023,US,Less than 1 Year,150.5,7.8,67971.0,
Race/Ethnicity,GRE - Analytical Writing,NA,2023,US,White,3.9,0.8,49997.0,0.0
Race/Ethnicity,GRE - Quantitative,NA,2023,US,White,150.7,7.5,49997.0,0.0
Race/Ethnicity,GRE - Verbal,NA,2023,US,White,152.5,7.4,49997.0,0.0
Age Group,GRE - Quantitative,NA,2023,US,26-30,150.6,7.5,46123.0,
Age Group,GRE - Verbal,NA,2023,US,26-30,160.0,9.1,46123.0,
Age Group,GRE - Verbal,NA,2023,US,26-30,3.3,0.7,46123.0,
Years of Full-time Work Experience,GRE - Analytical Writing,NA,2023,US,1-2 Years,3.6,0.8,33957.0,
Years of Full-time Work Experience,GRE - Quantitative,NA,2023,US,1-2 Years,154.2,9.4,33957.0,
Years of Full-time Work Experience,GRE - Verbal,NA,2023,US,1-2 Years,150.0,8.1,33957.0,
Age Group,GRE - Quantitative,NA,2023,US,31-40,149.5,7.4,20251.0,
Age Group,GRE - Quantitative,NA,2023,US,31-40,158.7,8.9,20251.0,
Race/Ethnicity,GRE - Verbal,NA,2023,US,No Response,153.0,8.1,16517.0,0.06445043781814495
Years of Full-time Work Experience,GRE - Analytical Writing,NA,2023,US,3-4 Years,3.6,0.9,14347.0,
Years of Full-time Work Experience,GRE - Quantitative,NA,2023,US,3-4 Years,153.9,8.9,14347.0,
Years of Full-time Work Experience,GRE - Verbal,NA,2023,US,3-4 Years,150.7,8.7,14347.0,
Race/Ethnicity,GRE - Analytical Writing,NA,2023,US,No Response,3.9,0.9,9944.0,0.0
Years of Full-time Work Experience,GRE - Analytical Writing,NA,2023,US,5-7 Years,3.7,0.9,9333.0,
Years of Full-time Work Experience,GRE - Quantitative,NA,2023,US,5-7 Years,153.2,9.3,9333.0,
Years of Full-time Work Experience,GRE - Verbal,NA,2023,US,5-7 Years,151.7,8.7,9333.0,
Race/Ethnicity,GRE - Analytical Writing,NA,2023,US,Asian,4.0,0.8,9244.0,0.1250000000000001
Race/Ethnicity,GRE - Quantitative,NA,2023,US,Asian,154.3,8.6,9244.0,0.44616482603734803
Race/Ethnicity,GRE - Verbal,NA,2023,US,Asian,152.7,8.0,9244.0,0.02595433458983818
Race/Ethnicity,GRE - Analytical Writing,NA,2023,US,Black,3.3,0.9,7522.0,-0.7046642634176442
Race/Ethnicity,GRE - Quantitative,NA,2023,US,Black,144.6,7.5,7522.0,-0.8133333333333326
Race/Ethnicity,GRE - Verbal,NA,2023,US,Black,147.2,7.6,7522.0,-0.7066038602259214
